step= 37  t=37.000  (-1.994, -0.145)  (-1.843, -0.775)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.946)  (0.983, -1.741)  (1.421, -1.407)  (1.975, -0.311)  (1.964, 0.374)  (1.517, 1.302)  (1.268, 1.545)  (0.286, 1.978)  (-0.911, 1.779)  (-1.418, 1.410)  (-1.742, 0.982)
step= 38  t=38.000  (-1.994, -0.145)  (-1.843, -0.775)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.946)  (0.983, -1.741)  (1.421, -1.407)  (1.975, -0.311)  (1.964, 0.374)  (1.517, 1.302)  (1.269, 1.545)  (0.286, 1.978)  (-0.911, 1.779)  (-1.418, 1.410)  (-1.742, 0.982)
step= 39  t=39.000  (-1.994, -0.145)  (-1.843, -0.775)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.946)  (0.983, -1.741)  (1.421, -1.407)  (1.975, -0.311)  (1.964, 0.374)  (1.517, 1.302)  (1.269, 1.545)  (0.286, 1.978)  (-0.911, 1.779)  (-1.418, 1.410)  (-1.742, 0.982)
step= 40  t=40.000  (-1.994, -0.145)  (-1.843, -0.775)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.946)  (0.983, -1.741)  (1.421, -1.407)  (1.975, -0.311)  (1.964, 0.374)  (1.517, 1.302)  (1.269, 1.545)  (0.286, 1.978)  (-0.911, 1.779)  (-1.418, 1.410)  (-1.742, 0.982)
step= 41  t=41.000  (-1.994, -0.145)  (-1.843, -0.775)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.946)  (0.983, -1.741)  (1.421, -1.407)  (1.975, -0.311)  (1.964, 0.374)  (1.517, 1.302)  (1.269, 1.545)  (0.286, 1.978)  (-0.911, 1.779)  (-1.418, 1.410)  (-1.742, 0.982)
step= 42  t=42.000  (-1.994, -0.145)  (-1.843, -0.775)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.946)  (0.983, -1.741)  (0.719, -0.712)  (1.975, -0.311)  (1.120, 0.214)  (1.517, 1.302)  (1.269, 1.545)  (0.286, 1.978)  (-0.911, 1.779)  (-1.418, 1.410)  (-1.742, 0.982)
step= 43  t=43.000  (-1.994, -0.145)  (-1.843, -0.775)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.946)  (0.983, -1.741)  (0.000, 0.000)  (1.975, -0.311)  (0.000, 0.000)  (1.517, 1.302)  (1.269, 1.545)  (0.286, 1.978)  (-0.911, 1.779)  (-1.418, 1.410)  (-1.742, 0.982)
step= 44  t=44.000  (-1.994, -0.145)  (-1.717, -0.723)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.947)  (0.983, -1.741)  (0.000, 0.000)  (1.975, -0.311)  (0.000, 0.000)  (1.517, 1.302)  (1.269, 1.545)  (0.286, 1.978)  (-0.911, 1.779)  (-1.418, 1.410)  (-1.742, 0.982)
step= 45  t=45.000  (-1.994, -0.145)  (0.000, 0.000)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.947)  (0.983, -1.741)  (0.000, 0.000)  (1.975, -0.311)  (0.000, 0.000)  (1.517, 1.302)  (1.269, 1.545)  (0.286, 1.978)  (-0.911, 1.779)  (-1.418, 1.410)  (-1.742, 0.982)
step= 46  t=46.000  (-1.994, -0.145)  (0.000, 0.000)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.947)  (0.983, -1.741)  (0.000, 0.000)  (1.975, -0.311)  (0.000, 0.000)  (1.517, 1.302)  (1.269, 1.545)  (0.286, 1.978)  (-0.911, 1.779)  (-1.418, 1.410)  (-1.742, 0.982)
step= 47  t=47.000  (-1.994, -0.145)  (0.000, 0.000)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.947)  (0.983, -1.741)  (0.000, 0.000)  (1.975, -0.311)  (0.000, 0.000)  (1.517, 1.302)  (0.314, 0.383)  (0.286, 1.979)  (-0.911, 1.779)  (0.000, 0.000)  (-0.666, 0.375)
step= 48  t=48.000  (-1.994, -0.145)  (0.000, 0.000)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.947)  (0.294, -0.520)  (0.000, 0.000)  (1.975, -0.311)  (0.000, 0.000)  (1.517, 1.302)  (0.000, 0.000)  (0.286, 1.979)  (-0.911, 1.779)  (0.000, 0.000)  (0.000, 0.000)
step= 49  t=49.000  (-1.994, -0.145)  (0.000, 0.000)  (-1.250, -1.560)  (-0.676, -1.881)  (0.425, -1.814)  (0.000, 0.000)  (0.000, 0.000)  (1.975, -0.311)  (0.000, 0.000)  (1.517, 1.302)  (0.000, 0.000)  (0.286, 1.979)  (-0.911, 1.779)  (0.000, 0.000)  (0.000, 0.000)
step= 50  t=50.000  (-1.994, -0.145)  (0.000, 0.000)  (-1.250, -1.560)  (-0.676, -1.881)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.772, -0.279)  (0.000, 0.000)  (0.700, 0.600)  (0.000, 0.000)  (0.286, 1.979)  (-0.911, 1.779)  (0.000, 0.000)  (0.000, 0.000)
step= 51  t=51.000  (-1.994, -0.145)  (0.000, 0.000)  (-0.752, -0.938)  (-0.676, -1.881)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.286, 1.979)  (-0.911, 1.779)  (0.000, 0.000)  (0.000, 0.000)
step= 52  t=52.000  (-1.851, -0.135)  (0.000, 0.000)  (0.000, 0.000)  (-0.167, -0.464)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.286, 1.979)  (-0.409, 0.798)  (0.000, 0.000)  (0.000, 0.000)
step= 53  t=53.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.286, 1.979)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 54  t=54.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.228, 1.577)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
