Simulation has 15 agents and 0 obstacle vertices in it.
Running simulation
step= 53  t=53.000  (7.701, -0.000)  (7.035, 3.132)  (5.153, 5.723)  (2.380, 7.324)  (-0.805, 7.658)  (-3.850, 6.669)  (-6.230, 4.526)  (-7.532, 1.601)  (-7.532, -1.601)  (-6.230, -4.526)  (-3.850, -6.669)  (-0.805, -7.658)  (2.380, -7.324)  (5.153, -5.723)  (7.035, -3.132)
step= 54  t=54.000  (7.700, -0.000)  (7.034, 3.132)  (5.152, 5.722)  (2.379, 7.323)  (-0.805, 7.657)  (-3.850, 6.668)  (-6.229, 4.526)  (-7.531, 1.601)  (-7.531, -1.601)  (-6.229, -4.526)  (-3.850, -6.668)  (-0.805, -7.657)  (2.379, -7.323)  (5.152, -5.722)  (7.034, -3.132)
step= 55  t=55.000  (7.699, -0.000)  (7.033, 3.131)  (5.152, 5.721)  (2.379, 7.322)  (-0.805, 7.657)  (-3.849, 6.668)  (-6.229, 4.525)  (-7.531, 1.601)  (-7.531, -1.601)  (-6.228, -4.525)  (-3.849, -6.668)  (-0.805, -7.657)  (2.379, -7.322)  (5.152, -5.721)  (7.033, -3.131)
step= 56  t=56.000  (7.698, -0.000)  (7.033, 3.131)  (5.151, 5.721)  (2.379, 7.322)  (-0.805, 7.656)  (-3.849, 6.667)  (-6.228, 4.525)  (-7.530, 1.601)  (-7.530, -1.601)  (-6.228, -4.525)  (-3.849, -6.667)  (-0.805, -7.656)  (2.379, -7.322)  (5.151, -5.721)  (7.033, -3.131)
step= 57  t=57.000  (7.698, -0.000)  (7.032, 3.131)  (5.151, 5.721)  (2.379, 7.321)  (-0.805, 7.656)  (-3.849, 6.667)  (-6.228, 4.525)  (-7.530, 1.600)  (-7.530, -1.600)  (-6.228, -4.525)  (-3.849, -6.667)  (-0.805, -7.656)  (2.379, -7.321)  (5.151, -5.721)  (7.032, -3.131)
step= 58  t=58.000  (7.698, -0.000)  (7.032, 3.131)  (5.151, 5.720)  (2.379, 7.321)  (-0.805, 7.655)  (-3.849, 6.666)  (-6.227, 4.525)  (-7.529, 1.600)  (-7.529, -1.600)  (-6.227, -4.524)  (-3.849, -6.666)  (-0.805, -7.655)  (2.379, -7.321)  (5.151, -5.720)  (7.032, -3.131)
step= 59  t=59.000  (7.697, -0.000)  (7.032, 3.131)  (5.151, 5.720)  (2.379, 7.320)  (-0.804, 7.655)  (-3.849, 6.666)  (-6.227, 4.524)  (-7.529, 1.600)  (-7.529, -1.600)  (-6.227, -4.524)  (-3.849, -6.666)  (-0.804, -7.655)  (2.379, -7.320)  (5.151, -5.720)  (7.032, -3.131)
step= 60  t=60.000  (7.697, -0.000)  (7.032, 3.131)  (5.150, 5.720)  (2.379, 7.320)  (-0.804, 7.655)  (-3.848, 6.666)  (-6.227, 4.524)  (-7.529, 1.600)  (-7.529, -1.600)  (-6.227, -4.524)  (-3.848, -6.666)  (-0.804, -7.655)  (2.379, -7.320)  (5.150, -5.720)  (7.032, -3.131)
step= 61  t=61.000  (7.697, -0.000)  (7.031, 3.131)  (5.150, 5.720)  (2.379, 7.320)  (-0.804, 7.655)  (-3.848, 6.666)  (-6.227, 4.524)  (-7.528, 1.600)  (-7.528, -1.600)  (-6.227, -4.524)  (-3.848, -6.666)  (-0.804, -7.655)  (2.379, -7.320)  (5.150, -5.720)  (7.031, -3.131)
step= 62  t=62.000  (7.697, -0.000)  (7.031, 3.130)  (5.150, 5.720)  (2.378, 7.320)  (-0.804, 7.654)  (-3.848, 6.665)  (-6.227, 4.524)  (-7.528, 1.600)  (-7.528, -1.600)  (-6.226, -4.524)  (-3.848, -6.665)  (-0.804, -7.654)  (2.378, -7.320)  (5.150, -5.720)  (7.031, -3.130)
step= 63  t=63.000  (7.696, -0.000)  (7.031, 3.130)  (5.150, 5.719)  (2.378, 7.320)  (-0.804, 7.654)  (-3.848, 6.665)  (-6.226, 4.524)  (-7.528, 1.600)  (-7.528, -1.600)  (-6.226, -4.524)  (-3.848, -6.665)  (-0.804, -7.654)  (2.378, -7.320)  (5.150, -5.720)  (7.031, -3.130)
step= 64  t=64.000  (7.696, -0.000)  (7.031, 3.130)  (5.150, 5.719)  (2.378, 7.320)  (-0.804, 7.654)  (-3.848, 6.665)  (-6.226, 4.524)  (-7.528, 1.600)  (-7.528, -1.600)  (-6.226, -4.524)  (-3.848, -6.665)  (-0.804, -7.654)  (2.378, -7.320)  (5.150, -5.719)  (7.031, -3.130)
step= 65  t=65.000  (7.696, -0.000)  (7.031, 3.130)  (5.150, 5.719)  (2.378, 7.319)  (-0.804, 7.654)  (-3.848, 6.665)  (-6.226, 4.524)  (-7.528, 1.600)  (-7.528, -1.600)  (-6.226, -4.524)  (-3.848, -6.665)  (-0.804, -7.654)  (2.378, -7.319)  (5.150, -5.719)  (7.031, -3.130)
step= 66  t=66.000  (7.696, -0.000)  (7.031, 3.130)  (5.150, 5.719)  (2.378, 7.319)  (-0.804, 7.654)  (-3.848, 6.665)  (-6.226, 4.524)  (-7.528, 1.600)  (-7.528, -1.600)  (-6.226, -4.524)  (-3.848, -6.665)  (-0.804, -7.654)  (2.378, -7.319)  (5.150, -5.719)  (7.031, -3.130)
step= 67  t=67.000  (7.696, -0.000)  (7.031, 3.130)  (5.150, 5.719)  (2.378, 7.319)  (-0.804, 7.654)  (-3.848, 6.665)  (-6.226, 4.524)  (-7.528, 1.600)  (-7.528, -1.600)  (-6.226, -4.524)  (-3.848, -6.665)  (-0.804, -7.654)  (2.378, -7.319)  (5.150, -5.719)  (7.031, -3.130)
step= 68  t=68.000  (7.696, -0.000)  (7.031, 3.130)  (5.150, 5.719)  (2.378, 7.319)  (-0.804, 7.654)  (-3.848, 6.665)  (-6.226, 4.524)  (-7.528, 1.600)  (-7.528, -1.600)  (-6.226, -4.524)  (-3.848, -6.665)  (-0.804, -7.654)  (2.378, -7.319)  (5.150, -5.719)  (7.031, -3.130)
step= 69  t=69.000  (7.696, -0.000)  (7.031, 3.130)  (5.150, 5.719)  (2.378, 7.319)  (-0.804, 7.654)  (-3.848, 6.665)  (-6.226, 4.524)  (-7.528, 1.600)  (-7.528, -1.600)  (-6.226, -4.524)  (-3.848, -6.665)  (-0.804, -7.654)  (2.378, -7.319)  (5.150, -5.719)  (7.031, -3.130)
step= 70  t=70.000  (7.696, -0.000)  (7.031, 3.130)  (5.150, 5.719)  (2.378, 7.319)  (-0.804, 7.654)  (-3.848, 6.665)  (-6.226, 4.523)  (-7.527, 1.600)  (-7.527, -1.600)  (-6.226, -4.523)  (-3.848, -6.665)  (-0.804, -7.654)  (2.378, -7.319)  (5.150, -5.719)  (7.031, -3.130)
step= 71  t=71.000  (7.696, -0.000)  (7.031, 3.130)  (5.150, 5.719)  (2.378, 7.319)  (-0.804, 7.654)  (-3.848, 6.665)  (-6.226, 4.523)  (-7.527, 1.600)  (-7.527, -1.600)  (-6.226, -4.523)  (-3.848, -6.665)  (-0.804, -7.654)  (2.378, -7.319)  (5.150, -5.719)  (7.031, -3.130)
step= 72  t=72.000  (7.696, -0.000)  (7.031, 3.130)  (5.150, 5.719)  (2.378, 7.319)  (-0.804, 7.654)  (-3.848, 6.665)  (-6.226, 4.523)  (-7.527, 1.600)  (-7.527, -1.600)  (-6.226, -4.523)  (-3.848, -6.665)  (-0.804, -7.654)  (2.378, -7.319)  (5.150, -5.719)  (7.031, -3.130)
step= 73  t=73.000  (7.696, -0.000)  (7.031, 3.130)  (5.150, 5.719)  (2.378, 7.319)  (-0.804, 7.654)  (-3.848, 6.665)  (-6.226, 4.523)  (-7.527, 1.600)  (-7.527, -1.600)  (-6.226, -4.523)  (-3.848, -6.665)  (-0.804, -7.654)  (2.378, -7.319)  (5.150, -5.719)  (7.031, -3.130)
step= 74  t=74.000  (7.696, -0.000)  (7.030, 3.130)  (5.150, 5.719)  (2.378, 7.319)  (-0.804, 7.654)  (-3.848, 6.665)  (-6.226, 4.523)  (-7.527, 1.600)  (-7.527, -1.600)  (-6.226, -4.523)  (-3.848, -6.665)  (-0.804, -7.654)  (2.378, -7.319)  (5.150, -5.719)  (7.030, -3.130)
